"","Trawl_id","specimen_id","species_code","length_mm","sex","weight_g","age","maturity","gonad_g","specimen_subsample_method","specimen_sample_type","age_determination_method","scientific_name","common_name","id_rank","worms","itis","temp","salinity","o2","phyto","npp"
"1",-12903,1,20510,280,2,138,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.33530687913299,31.7840103060007,320.249709358974,1.88488297049316,0.0985152182628573
"2",-12916,2,20510,430,1,652,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.14770960062742,32.4777977541089,158.161968041886,0.149867074821994,0.00295396759980311
"3",-12916,3,20510,440,2,784,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.14770960062742,32.4777977541089,158.161968041886,0.149867074821994,0.00295396759980311
"4",-12918,4,20510,310,1,230,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,6.45893125534058,31.5613269153982,312.95116454073,2.58321616465108,3.47839479403565
"5",-12918,5,20510,300,1,240,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,6.45893125534058,31.5613269153982,312.95116454073,2.58321616465108,3.47839479403565
"6",-12918,6,20510,280,1,170,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,6.45893125534058,31.5613269153982,312.95116454073,2.58321616465108,3.47839479403565
"7",-12920,9,20510,310,2,244,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"8",-12920,7,20510,330,1,294,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"9",-12920,8,20510,290,1,188,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"10",-12920,10,20510,310,2,226,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"11",-12920,11,20510,290,2,196,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"12",-12920,12,20510,290,2,210,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,4.70824306458235,31.627857265994,300.789374964385,0.694017072605099,0.239498360086677
"13",-12921,13,20510,310,1,234,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,3.25104527547956,31.6896572476253,300.789374964385,0.694017072605099,0.239498360086677
"14",-12934,14,20510,510,2,1102,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.23413801938295,33.2748394925147,140.848578817166,0.142057627620384,0.00337104835879719
"15",-12972,15,20510,520,1,1362,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.62672812491655,33.1537827383727,222.32426082409,0.0868660100422078,0.00273713114983836
"16",-12972,16,20510,510,2,1142,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.62672812491655,33.1537827383727,222.32426082409,0.0868660100422078,0.00273713114983836
"17",-12976,17,20510,730,2,3316,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.54506059363484,32.9493087250739,224.785799794817,0.0828499459167,0.00270091963216484
"18",-12980,18,20510,640,2,2554,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.38253121972084,33.5322122555226,127.554859986214,0.0593412581060684,0.00163968363094102
"19",-12983,19,20510,590,2,2016,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.55812251567841,33.5149184335023,117.493634776818,0.0390269859143213,0.000390485048149457
"20",-12983,20,20510,470,2,912,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.55812251567841,33.5149184335023,117.493634776818,0.0390269859143213,0.000390485048149457
"21",-12983,21,20510,610,1,2312,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.55812251567841,33.5149184335023,117.493634776818,0.0390269859143213,0.000390485048149457
"22",-12983,22,20510,480,1,1046,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.55812251567841,33.5149184335023,117.493634776818,0.0390269859143213,0.000390485048149457
"23",-12985,23,20510,450,1,856,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"24",-12985,24,20510,540,1,1486,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"25",-12985,25,20510,430,1,690,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"26",-12985,26,20510,470,1,922,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"27",-12985,27,20510,490,1,1018,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"28",-12985,28,20510,490,1,1016,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"29",-12985,29,20510,600,1,2182,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"30",-12985,30,20510,490,1,1064,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"31",-12985,31,20510,440,1,692,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"32",-12985,32,20510,490,1,1006,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"33",-12985,33,20510,520,1,1270,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"34",-12985,34,20510,510,1,1126,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"35",-12985,35,20510,470,1,972,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"36",-12985,36,20510,550,1,1378,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"37",-12985,37,20510,510,1,1246,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"38",-12985,38,20510,490,1,1166,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"39",-12985,39,20510,570,1,1740,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"40",-12985,40,20510,560,2,1500,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"41",-12985,41,20510,440,2,874,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"42",-12985,42,20510,460,2,848,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"43",-12985,43,20510,470,2,930,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"44",-12985,44,20510,560,2,1664,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"45",-12985,48,20510,560,2,1792,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"46",-12985,45,20510,490,2,966,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"47",-12985,46,20510,470,2,924,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"48",-12985,47,20510,500,2,1192,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"49",-12985,49,20510,510,2,1266,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"50",-12985,50,20510,460,2,868,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.67629018425941,33.1644642166793,164.751899654788,0.155652214592639,0.00347427368549002
"51",-12986,51,20510,470,1,802,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.56465347670019,32.8863642993383,207.27665259696,0.232806338120026,0.00768878701478535
"52",-12986,52,20510,450,1,832,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.56465347670019,32.8863642993383,207.27665259696,0.232806338120026,0.00768878701478535
"53",-12986,53,20510,440,1,808,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.56465347670019,32.8863642993383,207.27665259696,0.232806338120026,0.00768878701478535
"54",-12986,54,20510,430,1,712,NA,NA,NA,1,1,NA,"Anoplopoma fimbria","sablefish","species",159463,167123,5.56465347670019,32.8863642993383,207.27665259696,0.232806338120026,0.00768878701478535
